
SPDR S&P 500 ETF Trust,Last: 499.72,Change:  4.56
"Date: April 22, 2024 at 7:00 PM EDT",Bid: 499.61,Ask: 499.64,Size: 11*11,"Volume: 67,851,330"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed May 01 2024,SPY240501C00450000,0,0,49.81,50.19,0,0.2718,0.9885,0.0013,0,450.00,SPY240501P00450000,0.09,-0.17,0.09,0.1,494,0.2994,-0.0119,0.0013,428
Wed May 01 2024,SPY240501C00460000,0,0,39.86,40.24,0,0.2395,0.9818,0.0022,0,460.00,SPY240501P00460000,0.12,-0.275,0.13,0.14,196,0.2569,-0.0187,0.0023,178
Wed May 01 2024,SPY240501C00470000,28.9,2.965,29.97,30.35,1,0.2091,0.9659,0.0044,11,470.00,SPY240501P00470000,0.22,-0.535,0.22,0.24,468,0.2181,-0.0346,0.0044,346
Wed May 01 2024,SPY240501C00480000,18.82,1.885,20.43,20.6,6,0.186,0.9184,0.0102,3,480.00,SPY240501P00480000,0.55,-1.15,0.55,0.56,492,0.1883,-0.0826,0.0103,439
Wed May 01 2024,SPY240501C00481000,17.92,1.87,19.49,19.66,5,0.1836,0.9099,0.0112,0,481.00,SPY240501P00481000,0.62,-1.23,0.61,0.63,112,0.1862,-0.0911,0.0112,308
Wed May 01 2024,SPY240501C00482000,21,5.75,18.56,18.73,1,0.1815,0.9006,0.0122,1,482.00,SPY240501P00482000,0.68,-1.34,0.68,0.7,48,0.1839,-0.1006,0.0122,251
Wed May 01 2024,SPY240501C00483000,0,0,17.63,17.81,0,0.1791,0.8901,0.0132,0,483.00,SPY240501P00483000,0.7,-1.5,0.76,0.78,130,0.1817,-0.1112,0.0133,195
Wed May 01 2024,SPY240501C00484000,18.2,0,16.74,16.9,0,0.1778,0.8785,0.0144,1,484.00,SPY240501P00484000,0.82,-1.575,0.85,0.87,585,0.1797,-0.1228,0.0145,153
Wed May 01 2024,SPY240501C00485000,16.61,3.78,15.84,16,3,0.1758,0.8657,0.0156,129,485.00,SPY240501P00485000,0.94,-1.67,0.95,0.97,1560,0.1776,-0.1357,0.0157,366
Wed May 01 2024,SPY240501C00486000,0,0,14.96,15.11,0,0.174,0.8516,0.0168,0,486.00,SPY240501P00486000,1.09,-1.755,1.06,1.08,59,0.1755,-0.1498,0.017,121
Wed May 01 2024,SPY240501C00487000,16.4,0,14.08,14.24,0,0.1721,0.8362,0.0182,1,487.00,SPY240501P00487000,1.17,-1.93,1.19,1.21,420,0.1735,-0.1658,0.0184,83
Wed May 01 2024,SPY240501C00488000,11.49,0,13.24,13.38,0,0.1707,0.8193,0.0195,59,488.00,SPY240501P00488000,1.33,-2.045,1.33,1.36,252,0.172,-0.1823,0.0197,237
Wed May 01 2024,SPY240501C00489000,10.21,0,12.41,12.54,0,0.1692,0.8011,0.0209,91,489.00,SPY240501P00489000,1.49,-2.175,1.5,1.52,427,0.1702,-0.2013,0.0212,177
Wed May 01 2024,SPY240501C00490000,12.75,3.57,11.6,11.72,18,0.1676,0.7812,0.0223,72,490.00,SPY240501P00490000,1.7,-2.265,1.68,1.7,800,0.1685,-0.221,0.0226,807
Wed May 01 2024,SPY240501C00491000,11.93,3.395,10.81,10.92,49,0.1663,0.7599,0.0238,217,491.00,SPY240501P00491000,1.87,-2.435,1.88,1.9,620,0.1668,-0.2428,0.0241,287
Wed May 01 2024,SPY240501C00492000,12.08,4.185,10.03,10.14,51,0.1646,0.7369,0.0252,115,492.00,SPY240501P00492000,2.06,-2.605,2.1,2.12,303,0.1652,-0.2659,0.0255,177
Wed May 01 2024,SPY240501C00493000,11.51,4.23,9.28,9.38,2,0.1632,0.7125,0.0265,36,493.00,SPY240501P00493000,2.34,-2.71,2.34,2.37,194,0.1636,-0.2912,0.027,298
Wed May 01 2024,SPY240501C00494000,8.64,1.945,8.56,8.64,146,0.1617,0.6867,0.0278,253,494.00,SPY240501P00494000,2.61,-2.87,2.61,2.64,709,0.1621,-0.3176,0.0283,408
Wed May 01 2024,SPY240501C00495000,9.1,2.97,7.86,7.93,385,0.1602,0.6594,0.029,529,495.00,SPY240501P00495000,2.91,-2.99,2.91,2.94,2000,0.1607,-0.3454,0.0296,806
Wed May 01 2024,SPY240501C00496000,7.3,1.725,7.19,7.25,637,0.1593,0.6309,0.0302,397,496.00,SPY240501P00496000,3.25,-3.13,3.23,3.27,1602,0.1592,-0.3747,0.0308,191
Wed May 01 2024,SPY240501C00497000,6.55,1.47,6.56,6.6,756,0.158,0.6011,0.0311,248,497.00,SPY240501P00497000,3.58,-3.295,3.59,3.62,2567,0.1576,-0.4052,0.0318,350
Wed May 01 2024,SPY240501C00498000,5.99,1.39,5.95,5.98,871,0.1567,0.5702,0.032,536,498.00,SPY240501P00498000,3.9,-3.51,3.97,4.01,1827,0.1564,-0.4368,0.0327,175
Wed May 01 2024,SPY240501C00499000,5.36,1.22,5.36,5.39,847,0.1552,0.5383,0.0326,392,499.00,SPY240501P00499000,4.42,-3.53,4.39,4.43,872,0.1548,-0.4697,0.0335,338
Wed May 01 2024,SPY240501C00500000,4.8,1.085,4.81,4.84,1329,0.1539,0.5055,0.0331,777,500.00,SPY240501P00500000,4.91,-3.63,4.84,4.88,1330,0.1532,-0.5032,0.034,2399
Wed May 01 2024,SPY240501C00501000,4.3,0.995,4.29,4.32,660,0.1526,0.4725,0.0333,482,501.00,SPY240501P00501000,5.35,-3.785,5.32,5.36,1250,0.1516,-0.5375,0.0343,331
Wed May 01 2024,SPY240501C00502000,3.73,0.785,3.8,3.83,630,0.1512,0.4389,0.0333,258,502.00,SPY240501P00502000,5.9,-3.87,5.84,5.88,110,0.1502,-0.5723,0.0344,213
Wed May 01 2024,SPY240501C00503000,3.37,0.775,3.35,3.37,503,0.1498,0.4053,0.033,427,503.00,SPY240501P00503000,6.34,-4.115,6.38,6.44,51,0.1486,-0.6074,0.0343,110
Wed May 01 2024,SPY240501C00504000,2.98,0.69,2.93,2.95,575,0.1484,0.3718,0.0325,585,504.00,SPY240501P00504000,5.68,-5.47,6.96,7.03,143,0.147,-0.6423,0.0339,133
Wed May 01 2024,SPY240501C00505000,2.54,0.54,2.54,2.57,1183,0.1469,0.3387,0.0317,496,505.00,SPY240501P00505000,7.75,-4.125,7.58,7.66,226,0.1454,-0.6774,0.0333,219
Wed May 01 2024,SPY240501C00506000,2.31,0.58,2.19,2.22,415,0.1457,0.3062,0.0307,584,506.00,SPY240501P00506000,8.24,-4.4,8.24,8.34,17,0.1444,-0.7117,0.0324,229
Wed May 01 2024,SPY240501C00507000,1.88,0.385,1.87,1.9,417,0.1443,0.2748,0.0294,460,507.00,SPY240501P00507000,8.64,-4.81,8.92,9.04,21,0.1425,-0.7451,0.0313,43
Wed May 01 2024,SPY240501C00508000,1.62,0.34,1.59,1.61,311,0.1432,0.2446,0.028,485,508.00,SPY240501P00508000,8.3,-5.935,9.65,9.78,13,0.141,-0.7777,0.03,142
Wed May 01 2024,SPY240501C00509000,1.3,0.2,1.34,1.36,1785,0.1418,0.2159,0.0263,206,509.00,SPY240501P00509000,9.57,-5.515,10.42,10.57,21,0.1399,-0.8089,0.0285,44
Wed May 01 2024,SPY240501C00510000,1.15,0.22,1.12,1.14,1571,0.1407,0.189,0.0245,921,510.00,SPY240501P00510000,11.46,-4.505,11.22,11.37,29,0.1382,-0.8386,0.0269,130
Wed May 01 2024,SPY240501C00511000,0.89,0.11,0.93,0.95,527,0.1396,0.1644,0.0226,369,511.00,SPY240501P00511000,10.96,-5.895,12.05,12.21,8,0.1366,-0.8665,0.0252,7
Wed May 01 2024,SPY240501C00512000,0.72,0.065,0.76,0.78,123,0.1383,0.1416,0.0206,208,512.00,SPY240501P00512000,10.48,-7.27,12.91,13.1,3,0.1356,-0.8925,0.0234,18
Wed May 01 2024,SPY240501C00513000,0.66,0.11,0.62,0.64,336,0.1374,0.121,0.0186,398,513.00,SPY240501P00513000,12.39,-6.305,13.81,13.99,4,0.1338,-0.9164,0.0215,6
Wed May 01 2024,SPY240501C00514000,0.5,0.04,0.51,0.52,194,0.1369,0.1026,0.0166,129,514.00,SPY240501P00514000,0,0,14.73,14.91,0,0.1315,-0.9382,0.0197,0
Wed May 01 2024,SPY240501C00515000,0.41,0.03,0.41,0.42,522,0.1362,0.0862,0.0147,426,515.00,SPY240501P00515000,19.17,-1.41,15.67,15.86,4,0.127,-0.9578,0.018,2
Wed May 01 2024,SPY240501C00516000,0.44,0.125,0.33,0.34,140,0.1358,0.0723,0.0129,53,516.00,SPY240501P00516000,18.71,0,16.51,16.96,0,0,-0.9754,0.0164,0
Wed May 01 2024,SPY240501C00517000,0.28,0.015,0.26,0.28,144,0.1356,0.0603,0.0112,231,517.00,SPY240501P00517000,0,0,17.51,17.95,0,0,-0.988,0.0119,0
Wed May 01 2024,SPY240501C00518000,0.22,0,0.21,0.22,103,0.1353,0.0503,0.0097,334,518.00,SPY240501P00518000,18.17,0,18.51,18.95,0,0,-0.9958,0.0044,0
Wed May 01 2024,SPY240501C00519000,0.2,0.015,0.17,0.18,134,0.1357,0.0419,0.0084,40,519.00,SPY240501P00519000,0,0,19.51,19.95,0,0,-0.9996,0.0005,0
Wed May 01 2024,SPY240501C00520000,0.14,-0.015,0.14,0.15,467,0.1366,0.035,0.0072,863,520.00,SPY240501P00520000,23.04,0,20.51,20.95,0,0,-1,0,5
Wed May 01 2024,SPY240501C00521000,0.13,0.005,0.11,0.12,13,0.1368,0.0293,0.0062,20,521.00,SPY240501P00521000,0,0,21.51,21.96,0,0,-1,0,0
Wed May 01 2024,SPY240501C00522000,0.11,0,0.09,0.1,0,0.1376,0.0248,0.0053,6,522.00,SPY240501P00522000,24.38,0,22.51,22.95,0,0,-1,0,40
Wed May 01 2024,SPY240501C00523000,0.15,0.055,0.07,0.09,289,0.139,0.021,0.0046,15,523.00,SPY240501P00523000,28.67,0,23.51,23.95,0,0,-1,0,0
Wed May 01 2024,SPY240501C00524000,0.1,0.025,0.06,0.07,84,0.1398,0.0179,0.004,12,524.00,SPY240501P00524000,22.91,-6.67,24.51,24.95,1,0,-1,0,0
Wed May 01 2024,SPY240501C00525000,0.06,-0.005,0.05,0.06,126,0.1413,0.0154,0.0034,73,525.00,SPY240501P00525000,27.5,0,25.51,25.95,0,0,-1,0,0
Wed May 01 2024,SPY240501C00526000,0.07,0.015,0.04,0.06,115,0.1442,0.0134,0.003,17,526.00,SPY240501P00526000,0,0,26.51,26.95,0,0,-1,0,0
Wed May 01 2024,SPY240501C00527000,0.08,0.025,0.04,0.05,31,0.1468,0.0117,0.0026,16,527.00,SPY240501P00527000,0,0,27.51,27.95,0,0,-1,0,0
Wed May 01 2024,SPY240501C00528000,0.06,0.015,0.03,0.05,1,0.149,0.0103,0.0023,3,528.00,SPY240501P00528000,26.97,0,28.51,28.95,0,0,-1,0,0
Wed May 01 2024,SPY240501C00529000,0.03,-0.015,0.03,0.04,2,0.1511,0.0091,0.0021,6,529.00,SPY240501P00529000,0,0,29.51,29.95,0,0,-1,0,0
Wed May 01 2024,SPY240501C00530000,0.05,0.015,0.03,0.04,32,0.1555,0.0082,0.0018,195,530.00,SPY240501P00530000,30.32,0,30.51,30.95,0,0,-1,0,0
Wed May 01 2024,SPY240501C00540000,0.03,0.015,0.01,0.02,21,0.1813,0.004,0.0008,201,540.00,SPY240501P00540000,0,0,40.51,40.96,0,0,-1,0,0
Wed May 01 2024,SPY240501C00550000,0.02,0.015,0.01,0.02,26,0.2197,0.0028,0.0005,49,550.00,SPY240501P00550000,0,0,50.51,50.95,0,0,-1,0,0
Thu May 02 2024,SPY240502C00450000,52.4,6.725,50.05,50.43,1,0.2778,0.987,0.0014,0,450.00,SPY240502P00450000,0.11,-0.195,0.1,0.12,184,0.2906,-0.0138,0.0014,249
Thu May 02 2024,SPY240502C00460000,0,0,40.12,40.5,0,0.2449,0.9791,0.0025,0,460.00,SPY240502P00460000,0.14,-0.34,0.16,0.17,86,0.2522,-0.0218,0.0025,48
Thu May 02 2024,SPY240502C00470000,29.61,3.27,30.35,30.56,1,0.2138,0.9606,0.0048,0,470.00,SPY240502P00470000,0.29,-0.61,0.28,0.29,4143,0.216,-0.0404,0.0048,41
Thu May 02 2024,SPY240502C00480000,20.68,0,20.78,20.96,0,0.1892,0.9087,0.0105,1,480.00,SPY240502P00480000,0.68,-1.24,0.66,0.68,143,0.1887,-0.0929,0.0106,411
Thu May 02 2024,SPY240502C00481000,18.32,1.805,19.85,20.03,1,0.1869,0.8998,0.0114,0,481.00,SPY240502P00481000,0.74,-1.345,0.73,0.76,53,0.187,-0.1016,0.0115,10
Thu May 02 2024,SPY240502C00482000,15.75,0,18.92,19.11,0,0.1844,0.8901,0.0123,1,482.00,SPY240502P00482000,0.76,-1.495,0.81,0.83,297,0.1846,-0.1114,0.0124,70
Thu May 02 2024,SPY240502C00483000,0,0,18.02,18.19,0,0.1825,0.8794,0.0133,0,483.00,SPY240502P00483000,0.78,-1.66,0.9,0.92,3,0.1827,-0.1223,0.0134,23
Thu May 02 2024,SPY240502C00484000,15.71,1.635,17.13,17.29,1,0.1808,0.8676,0.0144,1,484.00,SPY240502P00484000,0.87,-1.78,1,1.02,161,0.1807,-0.1342,0.0145,498
Thu May 02 2024,SPY240502C00485000,17.04,3.75,16.23,16.4,1,0.1785,0.8548,0.0154,49,485.00,SPY240502P00485000,1.14,-1.725,1.11,1.13,66,0.1787,-0.1473,0.0156,204
Thu May 02 2024,SPY240502C00486000,12.3,0,15.37,15.53,0,0.1772,0.8407,0.0166,25,486.00,SPY240502P00486000,1.27,-1.835,1.24,1.26,37,0.177,-0.1618,0.0168,42
Thu May 02 2024,SPY240502C00487000,13.4,1.615,14.51,14.66,1,0.1753,0.8254,0.0178,1,487.00,SPY240502P00487000,1.39,-1.975,1.38,1.4,41,0.1753,-0.1768,0.018,46
Thu May 02 2024,SPY240502C00488000,15.53,4.45,13.67,13.81,2,0.1736,0.8089,0.019,162,488.00,SPY240502P00488000,1.31,-2.325,1.53,1.55,19,0.1736,-0.1936,0.0192,60
Thu May 02 2024,SPY240502C00489000,10.15,0,12.85,12.98,0,0.172,0.7911,0.0202,120,489.00,SPY240502P00489000,1.7,-2.24,1.7,1.73,32,0.1721,-0.2118,0.0205,317
Thu May 02 2024,SPY240502C00490000,13.83,4.14,12.05,12.17,8,0.1709,0.7722,0.0214,3,490.00,SPY240502P00490000,1.95,-2.29,1.89,1.92,1206,0.1705,-0.2312,0.0218,825
Thu May 02 2024,SPY240502C00491000,10.33,1.32,11.25,11.37,1,0.169,0.7515,0.0227,262,491.00,SPY240502P00491000,2.12,-2.46,2.1,2.13,86,0.1689,-0.2522,0.0231,586
Thu May 02 2024,SPY240502C00492000,8.54,0,10.48,10.6,0,0.1677,0.7298,0.0239,51,492.00,SPY240502P00492000,2.32,-2.625,2.33,2.36,46,0.1674,-0.2745,0.0244,229
Thu May 02 2024,SPY240502C00493000,10.12,2.365,9.74,9.84,26,0.1659,0.7064,0.0251,72,493.00,SPY240502P00493000,2.13,-3.2,2.58,2.62,52,0.166,-0.2982,0.0256,398
Thu May 02 2024,SPY240502C00494000,10.43,3.28,9.02,9.11,112,0.1645,0.682,0.0262,77,494.00,SPY240502P00494000,2.78,-2.975,2.86,2.9,258,0.1642,-0.3237,0.0268,635
Thu May 02 2024,SPY240502C00495000,10.18,3.59,8.33,8.41,62,0.1633,0.6565,0.0273,79,495.00,SPY240502P00495000,3.19,-3,3.16,3.2,382,0.1629,-0.35,0.028,398
Thu May 02 2024,SPY240502C00496000,7.58,1.53,7.66,7.72,315,0.1616,0.6296,0.0283,321,496.00,SPY240502P00496000,3.24,-3.395,3.49,3.53,83,0.1615,-0.3776,0.029,299
Thu May 02 2024,SPY240502C00497000,8.3,2.77,7.02,7.07,1016,0.1605,0.6017,0.0291,85,497.00,SPY240502P00497000,3.94,-3.21,3.85,3.89,288,0.16,-0.4064,0.03,583
Thu May 02 2024,SPY240502C00498000,7.37,2.335,6.4,6.45,315,0.159,0.5728,0.0299,63,498.00,SPY240502P00498000,4.33,-3.33,4.23,4.28,122,0.1588,-0.4362,0.0308,607
Thu May 02 2024,SPY240502C00499000,7.6,3.03,5.81,5.86,313,0.1578,0.5431,0.0305,109,499.00,SPY240502P00499000,4.62,-3.58,4.65,4.7,273,0.1575,-0.467,0.0315,636
Thu May 02 2024,SPY240502C00500000,5.25,1.125,5.25,5.29,563,0.1564,0.5125,0.0309,471,500.00,SPY240502P00500000,5.1,-3.66,5.09,5.15,657,0.1559,-0.4987,0.032,366
Thu May 02 2024,SPY240502C00501000,4.7,0.995,4.72,4.76,586,0.155,0.4815,0.0311,166,501.00,SPY240502P00501000,5.53,-3.855,5.57,5.62,100,0.1547,-0.5308,0.0324,232
Thu May 02 2024,SPY240502C00502000,4.38,1.065,4.22,4.26,604,0.1537,0.4501,0.0312,167,502.00,SPY240502P00502000,5.9,-4.085,6.08,6.14,115,0.1531,-0.5637,0.0326,45
Thu May 02 2024,SPY240502C00503000,3.69,0.735,3.75,3.79,865,0.1522,0.4186,0.0311,87,503.00,SPY240502P00503000,6.68,-3.96,6.62,6.68,81,0.1517,-0.5968,0.0326,47
Thu May 02 2024,SPY240502C00504000,3.47,0.855,3.32,3.36,276,0.1509,0.3871,0.0307,212,504.00,SPY240502P00504000,7.04,-4.325,7.19,7.27,25,0.1501,-0.63,0.0324,26
Thu May 02 2024,SPY240502C00505000,2.99,0.68,2.92,2.95,721,0.1497,0.3558,0.0302,215,505.00,SPY240502P00505000,7.83,-4.225,7.8,7.88,25,0.1488,-0.6637,0.032,11
Thu May 02 2024,SPY240502C00506000,2.51,0.475,2.55,2.58,924,0.1482,0.325,0.0294,71,506.00,SPY240502P00506000,7.47,-5.32,8.44,8.54,2,0.1478,-0.6967,0.0314,2
Thu May 02 2024,SPY240502C00507000,2.17,0.395,2.21,2.24,1071,0.1468,0.2949,0.0284,238,507.00,SPY240502P00507000,11.27,-2.315,9.11,9.23,2,0.1462,-0.7291,0.0306,20
Thu May 02 2024,SPY240502C00508000,2.23,0.69,1.9,1.93,1026,0.1456,0.2657,0.0273,434,508.00,SPY240502P00508000,8.44,-5.945,9.82,9.95,2,0.1448,-0.7611,0.0296,4
Thu May 02 2024,SPY240502C00509000,1.87,0.54,1.63,1.66,542,0.1444,0.2378,0.0259,144,509.00,SPY240502P00509000,9.15,-6.05,10.57,10.71,1,0.1436,-0.7921,0.0285,5
Thu May 02 2024,SPY240502C00510000,1.41,0.265,1.38,1.41,338,0.1431,0.211,0.0244,357,510.00,SPY240502P00510000,10.8,-5.25,11.35,11.5,409,0.1421,-0.8219,0.0272,13
Thu May 02 2024,SPY240502C00511000,1.53,0.55,1.16,1.19,399,0.142,0.1861,0.0228,151,511.00,SPY240502P00511000,14.22,0,12.16,12.32,0,0.1407,-0.8504,0.0258,1
Thu May 02 2024,SPY240502C00512000,1,0.17,0.97,1,297,0.1408,0.1628,0.0211,185,512.00,SPY240502P00512000,14.18,-3.635,13.01,13.18,1,0.1398,-0.8774,0.0243,0
Thu May 02 2024,SPY240502C00513000,1.09,0.39,0.81,0.84,260,0.1399,0.1417,0.0194,257,513.00,SPY240502P00513000,14.84,0,13.88,14.06,0,0.1383,-0.9027,0.0228,1
Thu May 02 2024,SPY240502C00514000,0.69,0.095,0.67,0.7,170,0.1391,0.1223,0.0176,8,514.00,SPY240502P00514000,0,0,14.78,14.97,0,0.1368,-0.9262,0.0213,0
Thu May 02 2024,SPY240502C00515000,0.61,0.11,0.55,0.58,648,0.1385,0.1047,0.0158,24,515.00,SPY240502P00515000,14.14,-6.47,15.71,15.91,8,0.1356,-0.9479,0.0198,1
Thu May 02 2024,SPY240502C00516000,0.49,0.07,0.45,0.47,213,0.1376,0.0893,0.0142,28,516.00,SPY240502P00516000,0,0,16.66,16.86,0,0.131,-0.9676,0.0183,0
Thu May 02 2024,SPY240502C00517000,0.54,0.19,0.37,0.39,37,0.1375,0.0759,0.0125,60,517.00,SPY240502P00517000,0,0,17.51,17.96,0,0,-0.9829,0.0143,0
Thu May 02 2024,SPY240502C00518000,0.28,-0.015,0.3,0.32,102,0.1372,0.0643,0.0111,54,518.00,SPY240502P00518000,0,0,18.51,18.95,0,0,-0.9928,0.0071,0
Thu May 02 2024,SPY240502C00519000,0.27,0.02,0.25,0.26,47,0.1372,0.0546,0.0097,15,519.00,SPY240502P00519000,0,0,19.51,19.95,0,0,-0.9983,0.0017,0
Thu May 02 2024,SPY240502C00520000,0.2,-0.01,0.2,0.22,171,0.1375,0.0463,0.0085,1265,520.00,SPY240502P00520000,0,0,20.51,20.95,0,0,-1,0,0
Thu May 02 2024,SPY240502C00530000,0.05,0.005,0.04,0.05,99,0.1512,0.0115,0.0024,128,530.00,SPY240502P00530000,33.17,0,30.51,30.95,0,0,-1,0,2
Thu May 02 2024,SPY240502C00540000,0.02,0.005,0.02,0.03,34,0.1805,0.0052,0.001,139,540.00,SPY240502P00540000,0,0,40.51,40.96,0,0,-1,0,0
Thu May 02 2024,SPY240502C00550000,0.02,0.01,0.01,0.02,4,0.2076,0.0034,0.0006,2,550.00,SPY240502P00550000,0,0,50.51,50.95,0,0,-1,0,0
